Date,USD_INR,Gold_USD_per_ounce,Gold_INR_per_gram_22K
2024-04-15,83.61109924316406,2365.800048828125,6223.401537009438
2024-04-16,83.50599670410156,2390.800048828125,6281.260039241588
2024-04-17,83.6675033569336,2371.699951171875,6243.130421860852
2024-04-18,83.5958023071289,2382.300048828125,6265.659400816402
2024-04-19,83.54499816894531,2398.39990234375,6304.169838873662
2024-04-22,83.38529968261719,2332.199951171875,6118.445966630276
2024-04-23,83.38619995117188,2327.699951171875,6106.706302440591
2024-04-24,83.2833023071289,2324.5,6090.786002190774
2024-04-25,83.3405990600586,2329.800048828125,6108.873346155226
2024-04-26,83.30180358886719,2334.800048828125,6119.133827090138
2024-04-29,83.40229797363281,2345.39990234375,6154.329901358348
2024-04-30,83.45110321044922,2291.39990234375,6016.152352974298
2024-05-01,83.49839782714844,2299.89990234375,6041.891615574261
2024-05-02,83.40640258789062,2299.199951171875,6033.398135417658
2024-05-03,83.40630340576172,2299.0,6032.866263725148
2024-05-06,83.37999725341797,2321.60009765625,6090.2503167053865
2024-05-07,83.4728012084961,2315.199951171875,6080.220730204893
2024-05-08,83.46990203857422,2313.60009765625,6075.808133693592
2024-05-09,83.46430206298828,2332.10009765625,6123.980602845174
2024-05-10,83.45939636230469,2367.300048828125,6216.04857395653
2024-05-13,83.5248031616211,2336.10009765625,6138.931134844474
2024-05-14,83.50550079345703,2353.39990234375,6182.963307025232
2024-05-15,83.52420043945312,2388.699951171875,6277.110599674646
2024-05-16,83.40509796142578,2380.0,6245.330227459703
2024-05-17,83.47010040283203,2412.199951171875,6334.758944756197
2024-05-20,83.30039978027344,2433.89990234375,6378.751040196584
2024-05-21,83.31500244140625,2421.699951171875,6347.890075248665
2024-05-22,83.31680297851562,2389.199951171875,6262.834672858104
2024-05-23,83.26709747314453,2335.0,6117.10822749386
2024-05-24,83.2863998413086,2332.5,6111.97536604626
2024-05-28,83.14569854736328,2355.199951171875,6161.031414456525
2024-05-29,83.20649719238281,2340.300048828125,6126.530986873949
2024-05-30,83.3656005859375,2342.89990234375,6145.064854248583
2024-05-31,83.3208999633789,2322.89990234375,6089.3410854665535
2024-06-03,83.45079803466797,2346.60009765625,6161.059908260811
2024-06-04,83.09339904785156,2325.5,6079.512024374099
2024-06-05,83.62940216064453,2354.10009765625,6193.979600446863
2024-06-06,83.38079833984375,2370.300048828125,6218.064571538464
2024-06-07,83.47309875488281,2305.199951171875,6053.98012600935
2024-06-10,83.52760314941406,2307.699951171875,6064.502974827122
2024-06-11,83.52980041503906,2307.5,6064.13703278502
2024-06-12,83.5968017578125,2336.0,6143.95964052996
2024-06-13,83.5343017578125,2300.199951171875,6045.278175772019
2024-06-14,83.52210235595703,2331.39990234375,6126.381600240413
2024-06-17,83.55180358886719,2312.39990234375,6078.6148226728665
2024-06-18,83.51010131835938,2330.39990234375,6122.873927104315
2024-06-20,83.41950225830078,2353.800048828125,6177.645954066187
2024-06-21,83.60160064697266,2316.39990234375,6092.758773199495
2024-06-24,83.5625,2330.0,6125.66438457991
2024-06-25,83.46040344238281,2316.60009765625,6082.994212061824
2024-06-26,83.41459655761719,2299.199951171875,6033.990865473577
2024-06-27,83.58039855957031,2324.5,6112.513643212985
2024-06-28,83.45089721679688,2327.699951171875,6111.444343027333
2024-07-01,83.36750030517578,2327.60009765625,6105.074945937479
2024-07-02,83.44129943847656,2323.0,6098.403019048742
2024-07-03,83.4791030883789,2359.800048828125,6197.818204116371
2024-07-05,83.49340057373047,2388.5,6274.270646295729
2024-07-08,83.47209930419922,2355.199951171875,6185.217455968019
2024-07-09,83.45760345458984,2360.10009765625,6197.009836706407
2024-07-10,83.49299621582031,2372.199951171875,6231.422415127401
2024-07-11,83.49590301513672,2415.0,6344.07274578579
2024-07-12,83.51850128173828,2414.0,6343.162120484493
2024-07-15,83.52030181884766,2422.89990234375,6366.685257747279
2024-07-16,83.58760070800781,2462.39990234375,6475.693691726532
2024-07-17,83.52960205078125,2454.800048828125,6451.227966518397
2024-07-18,83.57209777832031,2451.800048828125,6446.622004608302
2024-07-19,83.67430114746094,2395.5,6306.292670481569
2024-07-22,83.73030090332031,2392.0,6301.29309236413
2024-07-23,83.67130279541016,2404.60009765625,6330.022369632651
2024-07-24,83.70680236816406,2413.300048828125,6355.620056780186
2024-07-25,83.74299621582031,2351.89990234375,6196.596003585149
2024-07-26,83.73760223388672,2380.0,6270.227973932229
2024-07-29,83.72779846191406,2377.300048828125,6262.381550194123
2024-07-30,83.75050354003906,2405.0,6337.067903740276
2024-07-31,83.73899841308594,2426.5,6392.84111663944
2024-08-01,83.7177963256836,2435.0,6413.610871841747
2024-08-02,83.743896484375,2425.699951171875,6391.107120721241
2024-08-05,83.73529815673828,2401.699951171875,6327.223469795088
2024-08-06,84.00260162353516,2389.10009765625,6314.12151952013
2024-08-07,83.93489837646484,2390.5,6312.72935355
2024-08-08,83.94239807128906,2422.199951171875,6397.012748657642
2024-08-09,83.98899841308594,2432.10009765625,6426.724759958244
2024-08-12,83.94979858398438,2462.39990234375,6503.753864296999
2024-08-13,83.88999938964844,2466.699951171875,6510.4704139172745
2024-08-14,83.88200378417969,2439.39990234375,6437.802536862597
2024-08-15,83.97149658203125,2453.10009765625,6480.865618717789
2024-08-16,83.94830322265625,2498.60009765625,6599.249198236216
2024-08-19,83.88980102539062,2501.800048828125,6603.096042440172
2024-08-20,83.87860107421875,2511.300048828125,6627.284840814397
2024-08-21,83.77940368652344,2508.39990234375,6611.802818149101
2024-08-22,83.88860321044922,2478.89990234375,6542.561395794375
